Year,Month,Day,Hour,Minute,DHI,DNI,Wind Speed,Temperature
2018,1,1,0,30,0,0,2.3000000000000003,-14.4
2018,1,1,1,30,0,0,2.2,-14.600000000000001
2018,1,1,2,30,0,0,2.2,-14.700000000000001
2018,1,1,3,30,0,0,2.2,-14.9
2018,1,1,4,30,0,0,2.2,-15.100000000000001
2018,1,1,5,30,0,0,2.2,-15.3
2018,1,1,6,30,0,0,2.2,-15.5
2018,1,1,7,30,9,54,2.2,-14.700000000000001
2018,1,1,8,30,60,230,2.5,-12.8
2018,1,1,9,30,90,451,2.8000000000000003,-11.0
2018,1,1,10,30,126,459,2.9000000000000004,-9.700000000000001
2018,1,1,11,30,148,444,2.9000000000000004,-8.700000000000001
2018,1,1,12,30,153,430,2.9000000000000004,-8.1
2018,1,1,13,30,123,465,2.9000000000000004,-7.9
2018,1,1,14,30,81,512,2.7,-8.0
2018,1,1,15,30,52,348,2.4000000000000004,-8.6
2018,1,1,16,30,7,45,2.1,-9.4
2018,1,1,17,30,0,0,2.0,-10.0
2018,1,1,18,30,0,0,2.0,-10.200000000000001
2018,1,1,19,30,0,0,1.9000000000000001,-11.200000000000001
2018,1,1,20,30,0,0,2.0,-11.200000000000001
2018,1,1,21,30,0,0,2.1,-11.100000000000001
2018,1,1,22,30,0,0,2.3000000000000003,-11.100000000000001
2018,1,1,23,30,0,0,2.4000000000000004,-11.3
2018,1,2,0,30,0,0,2.5,-11.3
2018,1,2,1,30,0,0,2.7,-11.200000000000001
2018,1,2,2,30,0,0,2.7,-10.8
2018,1,2,3,30,0,0,2.6,-10.600000000000001
2018,1,2,4,30,0,0,2.5,-10.8
2018,1,2,5,30,0,0,2.3000000000000003,-11.3
2018,1,2,6,30,0,0,2.1,-11.8
2018,1,2,7,30,9,42,2.0,-11.3
2018,1,2,8,30,60,236,2.1,-9.4
2018,1,2,9,30,88,472,2.3000000000000003,-7.6000000000000005
2018,1,2,10,30,125,476,2.3000000000000003,-6.2
2018,1,2,11,30,144,490,2.3000000000000003,-5.2
2018,1,2,12,30,141,509,2.3000000000000003,-4.3
2018,1,2,13,30,122,511,2.3000000000000003,-3.8000000000000003
2018,1,2,14,30,87,493,2.2,-4.0
2018,1,2,15,30,53,400,2.1,-5.2
2018,1,2,16,30,10,88,2.0,-6.7
2018,1,2,17,30,0,0,2.1,-7.6000000000000005
2018,1,2,18,30,0,0,2.1,-8.0
2018,1,2,19,30,0,0,2.1,-8.9
2018,1,2,20,30,0,0,2.2,-9.4
2018,1,2,21,30,0,0,2.2,-9.8
2018,1,2,22,30,0,0,2.1,-10.3
2018,1,2,23,30,0,0,2.1,-10.8
2018,1,3,0,30,0,0,2.0,-11.3
2018,1,3,1,30,0,0,1.9000000000000001,-11.700000000000001
2018,1,3,2,30,0,0,1.9000000000000001,-11.9
2018,1,3,3,30,0,0,1.8,-12.0
2018,1,3,4,30,0,0,1.6,-12.100000000000001
2018,1,3,5,30,0,0,1.5,-12.3
2018,1,3,6,30,0,0,1.3,-12.5
2018,1,3,7,30,10,62,1.2000000000000002,-11.600000000000001
2018,1,3,8,30,58,287,1.0,-9.4
2018,1,3,9,30,80,555,0.9,-7.0
2018,1,3,10,30,108,558,0.9,-5.2
2018,1,3,11,30,138,515,0.9,-4.1000000000000005
2018,1,3,12,30,142,488,1.0,-3.3000000000000003
2018,1,3,13,30,134,424,1.0,-2.8000000000000003
2018,1,3,14,30,89,471,0.7000000000000001,-2.9000000000000004
2018,1,3,15,30,60,265,0.7000000000000001,-4.4
2018,1,3,16,30,9,51,0.9,-6.0
2018,1,3,17,30,0,0,0.9,-6.1000000000000005
2018,1,3,18,30,0,0,0.9,-5.7
2018,1,3,19,30,0,0,1.1,-6.0
2018,1,3,20,30,0,0,1.1,-6.0
2018,1,3,21,30,0,0,1.2000000000000002,-5.5
2018,1,3,22,30,0,0,1.3,-5.1000000000000005
2018,1,3,23,30,0,0,1.7000000000000002,-4.6000000000000005
2018,1,4,0,30,0,0,2.3000000000000003,-4.2
2018,1,4,1,30,0,0,2.7,-4.4
2018,1,4,2,30,0,0,3.1,-4.800000000000001
2018,1,4,3,30,0,0,3.5,-5.2
2018,1,4,4,30,0,0,4.0,-5.300000000000001
2018,1,4,5,30,0,0,4.800000000000001,-5.1000000000000005
2018,1,4,6,30,0,0,5.4,-4.9
2018,1,4,7,30,5,19,5.800000000000001,-4.9
2018,1,4,8,30,26,0,6.300000000000001,-5.0
2018,1,4,9,30,57,0,6.6000000000000005,-5.0
2018,1,4,10,30,95,1,6.7,-5.0
2018,1,4,11,30,131,19,6.7,-4.9
2018,1,4,12,30,144,37,6.7,-4.800000000000001
2018,1,4,13,30,146,83,6.6000000000000005,-4.800000000000001
2018,1,4,14,30,116,89,6.300000000000001,-4.800000000000001
2018,1,4,15,30,63,38,6.0,-4.800000000000001
2018,1,4,16,30,8,26,5.7,-4.7
2018,1,4,17,30,0,0,5.4,-4.7
2018,1,4,18,30,0,0,5.2,-4.7
2018,1,4,19,30,0,0,4.9,-5.0
2018,1,4,20,30,0,0,4.7,-5.4
2018,1,4,21,30,0,0,4.6000000000000005,-6.0
2018,1,4,22,30,0,0,4.4,-6.9
2018,1,4,23,30,0,0,4.3,-7.9
2018,1,5,0,30,0,0,4.3,-8.700000000000001
2018,1,5,1,30,0,0,4.3,-9.4
2018,1,5,2,30,0,0,4.3,-10.200000000000001
2018,1,5,3,30,0,0,4.2,-10.9
2018,1,5,4,30,0,0,4.1000000000000005,-11.600000000000001
2018,1,5,5,30,0,0,4.1000000000000005,-12.100000000000001
2018,1,5,6,30,0,0,4.1000000000000005,-12.5
2018,1,5,7,30,9,39,4.2,-12.600000000000001
2018,1,5,8,30,62,161,4.4,-12.4
2018,1,5,9,30,107,328,4.6000000000000005,-11.9
2018,1,5,10,30,148,328,4.800000000000001,-11.5
2018,1,5,11,30,170,316,4.800000000000001,-11.200000000000001
2018,1,5,12,30,181,264,4.9,-11.0
